"heads_heads","tails_heads","N_start_heads_up","N_start_tails_up","same_side","N","person","coin","agg","from","to","mean_toss"
28,20,48,52,60,100,"frantisekB","20DEM-silver",1,1,100,50.5
19,24,43,57,52,100,"frantisekB","20DEM-silver",2,101,200,150.5
20,28,48,52,44,100,"frantisekB","20DEM-silver",3,201,300,250.5
34,20,54,46,60,100,"frantisekB","20DEM-silver",4,301,400,350.5
20,26,46,54,48,100,"frantisekB","20DEM-silver",5,401,500,450.5
22,25,47,53,50,100,"frantisekB","20DEM-silver",6,501,600,550.5
29,26,55,45,48,100,"frantisekB","20DEM-silver",7,601,700,650.5
16,22,39,61,55,100,"frantisekB","20DEM-silver",8,701,800,750.5
29,25,54,46,50,100,"frantisekB","20DEM-silver",9,801,900,850.5
27,24,51,49,52,100,"frantisekB","20DEM-silver",10,901,1000,950.5
26,20,47,53,59,100,"frantisekB","1CZK",11,1001,1100,1050.5
28,25,53,47,50,100,"frantisekB","1CZK",12,1101,1200,1150.5
17,23,39,61,55,100,"frantisekB","1CZK",13,1201,1300,1250.5
25,27,52,48,46,100,"frantisekB","1CZK",14,1301,1400,1350.5
31,24,55,45,52,100,"frantisekB","1CZK",15,1401,1500,1450.5
34,24,58,42,52,100,"frantisekB","1CZK",16,1501,1600,1550.5
25,24,48,52,53,100,"frantisekB","1CZK",17,1601,1700,1650.5
32,28,61,39,43,100,"frantisekB","1CZK",18,1701,1800,1750.5
18,25,43,57,50,100,"frantisekB","1CZK",19,1801,1900,1850.5
24,25,49,51,50,100,"frantisekB","1CZK",20,1901,2000,1950.5
18,31,48,52,39,100,"frantisekB","5CZK",21,2001,2100,2050.5
23,24,47,53,52,100,"frantisekB","5CZK",22,2101,2200,2150.5
12,30,42,58,40,100,"frantisekB","5CZK",23,2201,2300,2250.5
19,23,43,57,53,100,"frantisekB","5CZK",24,2301,2400,2350.5
24,24,48,52,52,100,"frantisekB","5CZK",25,2401,2500,2450.5
23,22,44,56,57,100,"frantisekB","5CZK",26,2501,2600,2550.5
19,31,50,50,38,100,"frantisekB","5CZK",27,2601,2700,2650.5
22,23,45,55,54,100,"frantisekB","5CZK",28,2701,2800,2750.5
31,24,55,45,52,100,"frantisekB","5CZK",29,2801,2900,2850.5
18,28,47,53,43,100,"frantisekB","5CZK",30,2901,3000,2950.5
31,21,52,48,58,100,"frantisekB","0.25USD",31,3001,3100,3050.5
33,23,56,44,54,100,"frantisekB","0.25USD",32,3101,3200,3150.5
23,26,50,50,47,100,"frantisekB","0.25USD",33,3201,3300,3250.5
25,28,52,48,45,100,"frantisekB","0.25USD",34,3301,3400,3350.5
29,23,51,49,55,100,"frantisekB","0.25USD",35,3401,3500,3450.5
22,26,47,53,49,100,"frantisekB","0.25USD",36,3501,3600,3550.5
22,30,51,49,41,100,"frantisekB","0.25USD",37,3601,3700,3650.5
24,25,49,51,50,100,"frantisekB","0.25USD",38,3701,3800,3750.5
24,28,52,48,44,100,"frantisekB","0.25USD",39,3801,3900,3850.5
19,26,45,55,48,100,"frantisekB","0.25USD",40,3901,4000,3950.5
22,30,53,47,39,100,"frantisekB","10CZK",41,4001,4100,4050.5
24,25,50,50,49,100,"frantisekB","10CZK",42,4101,4200,4150.5
25,26,50,50,49,100,"frantisekB","10CZK",43,4201,4300,4250.5
31,26,57,43,48,100,"frantisekB","10CZK",44,4301,4400,4350.5
27,23,50,50,54,100,"frantisekB","10CZK",45,4401,4500,4450.5
18,26,45,55,47,100,"frantisekB","10CZK",46,4501,4600,4550.5
35,19,54,46,62,100,"frantisekB","10CZK",47,4601,4700,4650.5
26,21,48,52,57,100,"frantisekB","10CZK",48,4701,4800,4750.5
28,27,54,46,47,100,"frantisekB","10CZK",49,4801,4900,4850.5
11,29,39,61,43,100,"frantisekB","10CZK",50,4901,5000,4950.5
19,25,45,55,49,100,"frantisekB","0.50EUR",51,5001,5100,5050.5
34,21,55,45,58,100,"frantisekB","0.50EUR",52,5101,5200,5150.5
20,29,49,51,42,100,"frantisekB","0.50EUR",53,5201,5300,5250.5
28,27,55,45,46,100,"frantisekB","0.50EUR",54,5301,5400,5350.5
31,22,52,48,57,100,"frantisekB","0.50EUR",55,5401,5500,5450.5
23,26,50,50,47,100,"frantisekB","0.50EUR",56,5501,5600,5550.5
37,23,60,40,54,100,"frantisekB","0.50EUR",57,5601,5700,5650.5
24,24,47,53,53,100,"frantisekB","0.50EUR",58,5701,5800,5750.5
19,26,46,54,47,100,"frantisekB","0.50EUR",59,5801,5900,5850.5
17,29,47,53,41,100,"frantisekB","0.50EUR",60,5901,6000,5950.5
38,20,58,42,60,100,"frantisekB","1EUR",61,6001,6100,6050.5
21,25,46,54,50,100,"frantisekB","1EUR",62,6101,6200,6150.5
23,29,53,47,41,100,"frantisekB","1EUR",63,6201,6300,6250.5
22,25,48,52,49,100,"frantisekB","1EUR",64,6301,6400,6350.5
22,25,47,53,50,100,"frantisekB","1EUR",65,6401,6500,6450.5
26,24,51,49,51,100,"frantisekB","1EUR",66,6501,6600,6550.5
34,25,59,41,50,100,"frantisekB","1EUR",67,6601,6700,6650.5
30,24,54,46,52,100,"frantisekB","1EUR",68,6701,6800,6750.5
23,27,50,50,46,100,"frantisekB","1EUR",69,6801,6900,6850.5
26,28,54,46,44,100,"frantisekB","1EUR",70,6901,7000,6950.5
33,23,56,44,54,100,"frantisekB","1EUR",71,7001,7100,7050.5
19,24,42,58,53,100,"frantisekB","1EUR",72,7101,7200,7150.5
32,27,58,42,47,100,"frantisekB","1EUR",73,7201,7300,7250.5
29,25,54,46,50,100,"frantisekB","1EUR",74,7301,7400,7350.5
21,24,45,55,52,100,"frantisekB","1EUR",75,7401,7500,7450.5
24,22,46,54,56,100,"frantisekB","1EUR",76,7501,7600,7550.5
27,26,53,47,48,100,"frantisekB","1EUR",77,7601,7700,7650.5
21,24,46,54,51,100,"frantisekB","1EUR",78,7701,7800,7750.5
35,25,60,40,50,100,"frantisekB","1EUR",79,7801,7900,7850.5
26,26,51,49,49,100,"frantisekB","10CZK",80,7901,8000,7950.5
21,27,48,52,46,100,"frantisekB","10CZK",81,8001,8100,8050.5
36,24,60,40,52,100,"frantisekB","10CZK",82,8101,8200,8150.5
32,25,58,42,49,100,"frantisekB","10CZK",83,8201,8300,8250.5
24,26,50,50,48,100,"frantisekB","10CZK",84,8301,8400,8350.5
33,27,60,40,46,100,"frantisekB","10CZK",85,8401,8500,8450.5
34,24,57,43,53,100,"frantisekB","10CZK",86,8501,8600,8550.5
24,28,52,48,44,100,"frantisekB","10CZK",87,8601,8700,8650.5
34,24,57,43,53,100,"frantisekB","10CZK",88,8701,8800,8750.5
22,24,46,54,52,100,"frantisekB","10CZK",89,8801,8900,8850.5
19,27,46,54,46,100,"frantisekB","0.20GEL",90,8901,9000,8950.5
21,23,44,56,54,100,"frantisekB","0.20GEL",91,9001,9100,9050.5
30,25,55,45,50,100,"frantisekB","0.20GEL",92,9101,9200,9150.5
29,25,53,47,51,100,"frantisekB","0.20GEL",93,9201,9300,9250.5
22,24,47,53,51,100,"frantisekB","0.20GEL",94,9301,9400,9350.5
25,24,48,52,53,100,"frantisekB","0.20GEL",95,9401,9500,9450.5
33,27,59,41,47,100,"frantisekB","0.20GEL",96,9501,9600,9550.5
43,19,61,39,63,100,"frantisekB","0.20GEL",97,9601,9700,9650.5
23,27,50,50,46,100,"frantisekB","0.20GEL",98,9701,9800,9750.5
33,26,59,41,48,100,"frantisekB","0.20GEL",99,9801,9900,9850.5
24,26,50,50,48,100,"frantisekB","1EUR",100,9901,10000,9950.5
24,26,50,50,48,100,"frantisekB","1EUR",101,10001,10100,10050.5
20,26,46,54,48,100,"frantisekB","1EUR",102,10101,10200,10150.5
32,22,53,47,57,100,"frantisekB","1EUR",103,10201,10300,10250.5
17,29,45,55,43,100,"frantisekB","1EUR",104,10301,10400,10350.5
32,22,54,46,56,100,"frantisekB","1EUR",105,10401,10500,10450.5
28,22,50,50,56,100,"frantisekB","1EUR",106,10501,10600,10550.5
30,23,52,48,55,100,"frantisekB","1EUR",107,10601,10700,10650.5
17,23,41,59,53,100,"frantisekB","1EUR",108,10701,10800,10750.5
27,22,49,51,56,100,"frantisekB","1EUR",109,10801,10900,10850.5
38,25,63,37,50,100,"frantisekB","0.25USD",110,10901,11000,10950.5
33,22,55,45,56,100,"frantisekB","0.25USD",111,11001,11100,11050.5
29,23,52,48,54,100,"frantisekB","0.25USD",112,11101,11200,11150.5
22,22,43,57,57,100,"frantisekB","0.25USD",113,11201,11300,11250.5
23,25,48,52,50,100,"frantisekB","0.25USD",114,11301,11400,11350.5
28,23,51,49,54,100,"frantisekB","0.25USD",115,11401,11500,11450.5
23,25,48,52,50,100,"frantisekB","0.25USD",116,11501,11600,11550.5
26,25,51,49,50,100,"frantisekB","0.25USD",117,11601,11700,11650.5
24,29,52,48,43,100,"frantisekB","0.25USD",118,11701,11800,11750.5
32,20,53,47,59,100,"frantisekB","0.25USD",119,11801,11900,11850.5
37,23,59,41,55,100,"frantisekB","0.50EUR",120,11901,12000,11950.5
19,26,45,55,48,100,"frantisekB","0.50EUR",121,12001,12100,12050.5
15,23,37,63,55,100,"frantisekB","0.50EUR",122,12101,12200,12150.5
25,23,47,53,55,100,"frantisekB","0.50EUR",123,12201,12300,12250.5
35,25,59,41,51,100,"frantisekB","0.50EUR",124,12301,12400,12350.5
14,27,41,59,46,100,"frantisekB","0.50EUR",125,12401,12500,12450.5
42,24,65,35,53,100,"frantisekB","0.50EUR",126,12501,12600,12550.5
26,28,54,46,44,100,"frantisekB","0.50EUR",127,12601,12700,12650.5
31,25,56,44,50,100,"frantisekB","0.50EUR",128,12701,12800,12750.5
18,30,48,52,40,100,"frantisekB","0.50EUR",129,12801,12900,12850.5
32,27,59,41,46,100,"frantisekB","50CZK",130,12901,13000,12950.5
29,21,51,49,57,100,"frantisekB","50CZK",131,13001,13100,13050.5
30,23,54,46,53,100,"frantisekB","50CZK",132,13101,13200,13150.5
35,22,56,44,57,100,"frantisekB","50CZK",133,13201,13300,13250.5
26,26,52,48,48,100,"frantisekB","50CZK",134,13301,13400,13350.5
22,24,47,53,51,100,"frantisekB","50CZK",135,13401,13500,13450.5
23,27,51,49,45,100,"frantisekB","1CAD",136,13501,13600,13550.5
30,26,55,45,49,100,"frantisekB","1CAD",137,13601,13700,13650.5
13,23,36,64,54,100,"frantisekB","1CAD",138,13701,13800,13750.5
32,24,55,45,53,100,"frantisekB","1CAD",139,13801,13900,13850.5
28,24,51,49,53,100,"frantisekB","1CAD",140,13901,14000,13950.5
37,18,56,44,63,100,"frantisekB","1CAD",141,14001,14100,14050.5
24,24,48,52,52,100,"frantisekB","1CAD",142,14101,14200,14150.5
36,19,55,45,62,100,"frantisekB","1CAD",143,14201,14300,14250.5
22,31,53,47,38,100,"frantisekB","1CAD",144,14301,14400,14350.5
24,26,50,50,48,100,"frantisekB","1EUR",145,14401,14500,14450.5
28,23,50,50,55,100,"frantisekB","1EUR",146,14501,14600,14550.5
23,22,46,54,55,100,"frantisekB","1EUR",147,14601,14700,14650.5
17,28,44,56,45,100,"frantisekB","1EUR",148,14701,14800,14750.5
23,24,48,52,51,100,"frantisekB","1EUR",149,14801,14900,14850.5
21,25,46,54,50,100,"frantisekB","1EUR",150,14901,15000,14950.5
21,28,50,50,43,100,"frantisekB","1EUR",151,15001,15100,15050.5
20,28,48,52,44,100,"frantisekB","1EUR",152,15101,15200,15150.5
21,25,47,53,49,100,"frantisekB","1EUR",153,15201,15300,15250.5
20,29,49,51,42,100,"frantisekB","1EUR",154,15301,15400,15350.5
24,22,46,54,56,100,"frantisekB","0.20EUR",155,15401,15500,15450.5
32,25,58,42,49,100,"frantisekB","0.20EUR",156,15501,15600,15550.5
25,28,53,47,44,100,"frantisekB","0.20EUR",157,15601,15700,15650.5
23,24,48,52,51,100,"frantisekB","0.20EUR",158,15701,15800,15750.5
26,24,50,50,52,100,"frantisekB","0.20EUR",159,15801,15900,15850.5
28,21,49,51,58,100,"frantisekB","0.20EUR",160,15901,16000,15950.5
32,22,54,46,56,100,"frantisekB","0.20EUR",161,16001,16100,16050.5
16,26,41,59,49,100,"frantisekB","0.20EUR",162,16101,16200,16150.5
21,22,44,56,55,100,"frantisekB","0.20EUR",163,16201,16300,16250.5
26,21,48,52,57,100,"frantisekB","0.20EUR",164,16301,16400,16350.5
24,22,46,54,56,100,"frantisekB","0.50EUR",165,16401,16500,16450.5
18,30,48,52,40,100,"frantisekB","0.50EUR",166,16501,16600,16550.5
25,25,50,50,50,100,"frantisekB","0.50EUR",167,16601,16700,16650.5
22,23,45,55,54,100,"frantisekB","0.50EUR",168,16701,16800,16750.5
24,24,48,52,52,100,"frantisekB","0.50EUR",169,16801,16900,16850.5
21,25,46,54,50,100,"frantisekB","0.50EUR",170,16901,17000,16950.5
29,21,50,50,58,100,"frantisekB","0.50EUR",171,17001,17100,17050.5
19,25,43,57,51,100,"frantisekB","0.50EUR",172,17101,17200,17150.5
22,23,46,54,53,100,"frantisekB","0.50EUR",173,17201,17300,17250.5
27,27,54,46,46,100,"frantisekB","0.50EUR",174,17301,17400,17350.5
31,22,53,47,56,100,"frantisekB","50CZK",175,17401,17500,17450.5
20,20,40,60,60,100,"frantisekB","50CZK",176,17501,17600,17550.5
26,21,48,52,57,100,"frantisekB","50CZK",177,17601,17700,17650.5
25,26,52,48,47,100,"frantisekB","50CZK",178,17701,17800,17750.5
22,22,45,55,55,100,"frantisekB","50CZK",179,17801,17900,17850.5
23,26,50,50,47,100,"frantisekB","50CZK",180,17901,18000,17950.5
18,26,44,56,48,100,"frantisekB","50CZK",181,18001,18100,18050.5
23,23,45,55,55,100,"frantisekB","50CZK",182,18101,18200,18150.5
32,22,55,45,55,100,"frantisekB","50CZK",183,18201,18300,18250.5
21,27,47,53,47,100,"frantisekB","50CZK",184,18301,18400,18350.5
30,24,54,46,52,100,"frantisekB","1CAD",185,18401,18500,18450.5
35,22,56,44,57,100,"frantisekB","1CAD",186,18501,18600,18550.5
17,25,42,58,50,100,"frantisekB","1CAD",187,18601,18700,18650.5
26,29,54,46,43,100,"frantisekB","1CAD",188,18701,18800,18750.5
26,27,53,47,46,100,"frantisekB","1CAD",189,18801,18900,18850.5
23,25,48,52,50,100,"frantisekB","1CAD",190,18901,19000,18950.5
25,25,50,50,50,100,"frantisekB","1CAD",191,19001,19100,19050.5
29,24,52,48,53,100,"frantisekB","1CAD",192,19101,19200,19150.5
22,29,51,49,42,100,"frantisekB","1CAD",193,19201,19300,19250.5
22,25,47,53,50,100,"frantisekB","1CAD",194,19301,19400,19350.5
17,29,46,54,42,100,"frantisekB","1CAD",195,19401,19500,19450.5
31,25,56,44,50,100,"frantisekB","1CAD",196,19501,19600,19550.5
21,24,44,56,53,100,"frantisekB","1CAD",197,19601,19700,19650.5
17,27,43,57,47,100,"frantisekB","1CAD",198,19701,19800,19750.5
25,27,52,48,46,100,"frantisekB","1CAD",199,19801,19900,19850.5
24,24,48,52,52,100,"frantisekB","1CAD",200,19901,20000,19950.5
20,23,43,57,54,100,"frantisekB","1CAD",201,20001,20100,20050.5
20,24,45,57,53,102,"ingeborgR","2HRK",1,1,102,51.5
21,33,55,46,34,101,"ingeborgR","2HRK",2,103,203,153
27,23,50,51,55,101,"ingeborgR","2HRK",3,204,304,254
29,26,54,47,50,101,"ingeborgR","2HRK",4,305,405,355
32,23,53,48,57,101,"ingeborgR","2HRK",5,406,506,456
32,23,56,45,54,101,"ingeborgR","2HRK",6,507,607,557
34,20,53,48,62,101,"ingeborgR","2HRK",7,608,708,658
33,20,53,48,61,101,"ingeborgR","2HRK",8,709,809,759
28,25,52,50,53,102,"ingeborgR","2HRK",9,810,911,860.5
29,27,55,46,48,101,"ingeborgR","2HRK",10,912,1012,962
20,26,45,56,50,101,"ingeborgR","2HRK",11,1013,1113,1063
32,24,56,45,53,101,"ingeborgR","2HRK",12,1114,1214,1164
21,25,47,54,50,101,"ingeborgR","2HRK",13,1215,1315,1265
18,32,49,52,38,101,"ingeborgR","2HRK",14,1316,1416,1366
29,24,52,49,54,101,"ingeborgR","2HRK",15,1417,1517,1467
24,25,51,50,49,101,"ingeborgR","2HRK",16,1518,1618,1568
16,27,42,60,49,102,"ingeborgR","2HRK",17,1619,1720,1669.5
25,27,51,50,48,101,"ingeborgR","2HRK",18,1721,1821,1771
30,26,56,45,49,101,"ingeborgR","2HRK",19,1822,1922,1872
27,22,50,51,56,101,"ingeborgR","2HRK",20,1923,2023,1973
22,23,46,55,54,101,"ingeborgR","2HRK",21,2024,2124,2074
19,27,46,55,47,101,"ingeborgR","2HRK",22,2125,2225,2175
29,25,54,47,51,101,"ingeborgR","2HRK",23,2226,2326,2276
16,21,37,64,59,101,"ingeborgR","2HRK",24,2327,2427,2377
23,29,52,49,43,101,"ingeborgR","2HRK",25,2428,2528,2478
18,28,45,57,47,102,"ingeborgR","2HRK",26,2529,2630,2579.5
32,23,55,46,55,101,"ingeborgR","2HRK",27,2631,2731,2681
26,25,53,48,49,101,"ingeborgR","2HRK",28,2732,2832,2782
17,30,46,55,42,101,"ingeborgR","2HRK",29,2833,2933,2883
32,24,57,44,52,101,"ingeborgR","2HRK",30,2934,3034,2984
19,31,52,49,37,101,"ingeborgR","2HRK",31,3035,3135,3085
19,27,45,56,48,101,"ingeborgR","2HRK",32,3136,3236,3186
27,25,52,49,51,101,"ingeborgR","2HRK",33,3237,3337,3287
21,27,50,52,46,102,"ingeborgR","2HRK",34,3338,3439,3388.5
32,25,56,45,52,101,"ingeborgR","2HRK",35,3440,3540,3490
25,21,47,54,58,101,"ingeborgR","2HRK",36,3541,3641,3591
29,22,51,50,57,101,"ingeborgR","2HRK",37,3642,3742,3692
24,26,52,49,47,101,"ingeborgR","2HRK",38,3743,3843,3793
24,24,49,52,52,101,"ingeborgR","2HRK",39,3844,3944,3894
18,28,46,55,45,101,"ingeborgR","2HRK",40,3945,4045,3995
14,24,38,63,53,101,"ingeborgR","2HRK",41,4046,4146,4096
29,24,53,48,53,101,"ingeborgR","2HRK",42,4147,4247,4197
25,29,54,48,44,102,"ingeborgR","2HRK",43,4248,4349,4298.5
20,24,44,57,53,101,"ingeborgR","2HRK",44,4350,4450,4400
27,23,51,50,54,101,"ingeborgR","2HRK",45,4451,4551,4501
30,21,52,49,58,101,"ingeborgR","2HRK",46,4552,4652,4602
30,27,56,45,48,101,"ingeborgR","2HRK",47,4653,4753,4703
30,22,52,49,57,101,"ingeborgR","2HRK",48,4754,4854,4804
23,24,46,55,54,101,"ingeborgR","2HRK",49,4855,4955,4905
35,21,56,45,59,101,"ingeborgR","2HRK",50,4956,5056,5006
18,26,43,59,51,102,"ingeborgR","2HRK",51,5057,5158,5107.5
30,24,54,47,53,101,"ingeborgR","2HRK",52,5159,5259,5209
23,27,48,53,49,101,"ingeborgR","2HRK",53,5260,5360,5310
31,21,53,48,58,101,"ingeborgR","2HRK",54,5361,5461,5411
14,25,38,63,52,101,"ingeborgR","2HRK",55,5462,5562,5512
34,24,59,42,52,101,"ingeborgR","2HRK",56,5563,5663,5613
28,27,55,46,47,101,"ingeborgR","2HRK",57,5664,5764,5714
28,18,46,55,65,101,"ingeborgR","2HRK",58,5765,5865,5815
28,19,47,54,63,101,"ingeborgR","2HRK",59,5866,5966,5916
16,28,45,57,45,102,"ingeborgR","2HRK",60,5967,6068,6017.5
29,28,56,45,46,101,"ingeborgR","2HRK",61,6069,6169,6119
33,22,56,45,56,101,"ingeborgR","2HRK",62,6170,6270,6220
23,29,53,48,42,101,"ingeborgR","2HRK",63,6271,6371,6321
18,29,46,55,44,101,"ingeborgR","2HRK",64,6372,6472,6422
22,27,49,52,47,101,"ingeborgR","2HRK",65,6473,6573,6523
17,32,49,52,37,101,"ingeborgR","2HRK",66,6574,6674,6624
17,23,41,60,54,101,"ingeborgR","2HRK",67,6675,6775,6725
27,27,55,47,47,102,"ingeborgR","2HRK",68,6776,6877,6826.5
28,20,49,52,60,101,"ingeborgR","2HRK",69,6878,6978,6928
17,24,40,61,54,101,"ingeborgR","2HRK",70,6979,7079,7029
10,28,37,64,46,101,"ingeborgR","2HRK",71,7080,7180,7130
32,24,56,45,53,101,"ingeborgR","2HRK",72,7181,7281,7231
31,23,55,46,54,101,"ingeborgR","2HRK",73,7282,7382,7332
30,25,55,46,51,101,"ingeborgR","2HRK",74,7383,7483,7433
20,22,42,59,57,101,"ingeborgR","2HRK",75,7484,7584,7534
38,24,62,39,53,101,"ingeborgR","2HRK",76,7585,7685,7635
30,27,58,44,47,102,"ingeborgR","2HRK",77,7686,7787,7736.5
24,29,53,48,43,101,"ingeborgR","2HRK",78,7788,7888,7838
29,24,53,48,53,101,"ingeborgR","2HRK",79,7889,7989,7939
33,24,57,44,53,101,"ingeborgR","2HRK",80,7990,8090,8040
32,25,55,46,53,101,"ingeborgR","2HRK",81,8091,8191,8141
25,25,50,51,51,101,"ingeborgR","2HRK",82,8192,8292,8242
15,24,37,64,55,101,"ingeborgR","2HRK",83,8293,8393,8343
21,24,46,55,52,101,"ingeborgR","2HRK",84,8394,8494,8444
19,26,46,56,49,102,"ingeborgR","2HRK",85,8495,8596,8545.5
29,26,56,45,48,101,"alexandraS","1MXN",1,1,101,51
22,21,43,57,58,100,"alexandraS","1MXN",2,102,201,151.5
21,23,44,57,55,101,"alexandraS","1MXN",3,202,302,252
30,20,50,50,60,100,"alexandraS","1MXN",4,303,402,352.5
33,21,52,48,60,100,"alexandraS","1MXN",5,403,502,452.5
25,20,45,56,61,101,"alexandraS","1MXN",6,503,603,553
32,23,56,44,53,100,"alexandraS","1MXN",7,604,703,653.5
23,22,46,55,56,101,"alexandraS","1MXN",8,704,804,754
32,18,51,49,63,100,"alexandraS","1MXN",9,805,904,854.5
26,23,48,52,55,100,"alexandraS","1MXN",10,905,1004,954.5
19,23,41,60,56,101,"alexandraS","1MXN",11,1005,1105,1055
26,23,48,52,55,100,"alexandraS","1MXN",12,1106,1205,1155.5
26,25,51,50,51,101,"alexandraS","1MXN",13,1206,1306,1256
24,21,46,54,57,100,"alexandraS","1MXN",14,1307,1406,1356.5
16,19,35,65,62,100,"alexandraS","1MXN",15,1407,1506,1456.5
29,21,49,52,60,101,"alexandraS","1MXN",16,1507,1607,1557
28,22,51,49,55,100,"alexandraS","1MXN",17,1608,1707,1657.5
22,21,42,59,60,101,"alexandraS","1MXN",18,1708,1808,1758
33,24,56,44,53,100,"alexandraS","1MXN",19,1809,1908,1858.5
16,24,39,61,53,100,"alexandraS","1MXN",20,1909,2008,1958.5
25,18,44,57,64,101,"alexandraS","1MXN",21,2009,2109,2059
26,25,51,49,50,100,"alexandraS","1MXN",22,2110,2209,2159.5
30,25,55,46,51,101,"alexandraS","1MXN",23,2210,2310,2260
32,18,51,49,63,100,"alexandraS","1MXN",24,2311,2410,2360.5
33,21,53,47,59,100,"alexandraS","1MXN",25,2411,2510,2460.5
24,25,49,52,51,101,"alexandraS","1MXN",26,2511,2611,2561
20,22,43,57,55,100,"alexandraS","1MXN",27,2612,2711,2661.5
35,24,57,44,55,101,"alexandraS","1MXN",28,2712,2812,2762
35,20,56,44,59,100,"alexandraS","1MXN",29,2813,2912,2862.5
14,32,45,55,37,100,"alexandraS","1MXN",30,2913,3012,2962.5
31,18,49,52,65,101,"alexandraS","1MXN",31,3013,3113,3063
31,22,53,47,56,100,"alexandraS","1MXN",32,3114,3213,3163.5
33,22,55,45,56,100,"alexandraS","1MXN",33,3214,3313,3263.5
30,22,53,48,56,101,"alexandraS","1MXN",34,3314,3414,3364
28,27,54,46,47,100,"alexandraS","1MXN",35,3415,3514,3464.5
24,29,53,48,43,101,"alexandraS","1MXN",36,3515,3615,3565
26,26,52,48,48,100,"alexandraS","1MXN",37,3616,3715,3665.5
24,26,49,51,49,100,"alexandraS","1MXN",38,3716,3815,3765.5
37,21,60,41,57,101,"alexandraS","1MXN",39,3816,3916,3866
31,26,55,45,50,100,"alexandraS","1MXN",40,3917,4016,3966.5
30,23,53,48,55,101,"alexandraS","1MXN",41,4017,4117,4067
28,21,48,52,59,100,"alexandraS","1MXN",42,4118,4217,4167.5
26,23,50,50,53,100,"alexandraS","1MXN",43,4218,4317,4267.5
29,22,50,51,58,101,"alexandraS","1MXN",44,4318,4418,4368
35,24,59,41,52,100,"alexandraS","1MXN",45,4419,4518,4468.5
30,23,52,49,56,101,"alexandraS","1MXN",46,4519,4619,4569
34,23,57,43,54,100,"alexandraS","1MXN",47,4620,4719,4669.5
32,21,53,47,58,100,"alexandraS","1MXN",48,4720,4819,4769.5
30,27,56,45,48,101,"alexandraS","1MXN",49,4820,4920,4870
32,25,57,43,50,100,"alexandraS","1MXN",50,4921,5020,4970.5
25,23,48,53,55,101,"alexandraS","1MXN",51,5021,5121,5071
22,24,45,55,53,100,"alexandraS","1MXN",52,5122,5221,5171.5
24,22,46,54,56,100,"alexandraS","1MXN",53,5222,5321,5271.5
20,25,45,56,51,101,"alexandraS","1MXN",54,5322,5422,5372
30,25,54,46,51,100,"alexandraS","1MXN",55,5423,5522,5472.5
23,21,45,56,58,101,"alexandraS","1MXN",56,5523,5623,5573
26,21,49,51,56,100,"alexandraS","1MXN",57,5624,5723,5673.5
13,29,41,59,43,100,"alexandraS","1MXN",58,5724,5823,5773.5
27,22,50,51,56,101,"alexandraS","1MXN",59,5824,5924,5874
20,24,44,56,52,100,"alexandraS","1MXN",60,5925,6024,5974.5
27,26,54,46,47,100,"alexandraS","1MXN",61,6025,6124,6074.5
33,27,60,41,47,101,"alexandraS","1MXN",62,6125,6225,6175
39,24,62,38,53,100,"alexandraS","1MXN",63,6226,6325,6275.5
25,23,48,53,55,101,"alexandraS","1MXN",64,6326,6426,6376
37,24,61,39,52,100,"alexandraS","1MXN",65,6427,6526,6476.5
21,22,44,56,55,100,"alexandraS","1MXN",66,6527,6626,6576.5
23,25,49,52,50,101,"alexandraS","1MXN",67,6627,6727,6677
26,27,52,48,47,100,"alexandraS","1MXN",68,6728,6827,6777.5
22,24,46,55,53,101,"alexandraS","1MXN",69,6828,6928,6878
16,31,45,55,40,100,"alexandraS","1MXN",70,6929,7028,6978.5
20,25,47,53,48,100,"alexandraS","1MXN",71,7029,7128,7078.5
20,22,42,59,57,101,"alexandraS","1MXN",72,7129,7229,7179
14,28,42,58,44,100,"alexandraS","1MXN",73,7230,7329,7279.5
22,21,43,58,59,101,"alexandraS","1MXN",74,7330,7430,7380
23,24,46,54,53,100,"alexandraS","1MXN",75,7431,7530,7480.5
19,22,41,59,56,100,"alexandraS","1MXN",76,7531,7630,7580.5
28,27,54,47,48,101,"alexandraS","1MXN",77,7631,7731,7681
25,21,48,52,56,100,"alexandraS","1MXN",78,7732,7831,7781.5
29,22,50,51,58,101,"alexandraS","1MXN",79,7832,7932,7882
21,27,49,51,45,100,"alexandraS","1MXN",80,7933,8032,7982.5
24,26,50,50,48,100,"alexandraS","1MXN",81,8033,8132,8082.5
28,21,50,51,58,101,"alexandraS","1MXN",82,8133,8233,8183
32,24,58,42,50,100,"alexandraS","1MXN",83,8234,8333,8283.5
24,25,48,53,52,101,"alexandraS","1MXN",84,8334,8434,8384
25,24,48,52,53,100,"alexandraS","1EUR",85,8435,8534,8484.5
26,25,52,48,49,100,"alexandraS","1EUR",86,8535,8634,8584.5
28,25,52,48,51,100,"alexandraS","1EUR",87,8635,8734,8684.5
27,22,48,52,57,100,"alexandraS","1EUR",88,8735,8834,8784.5
28,26,54,46,48,100,"alexandraS","1EUR",89,8835,8934,8884.5
13,27,39,61,47,100,"alexandraS","1EUR",90,8935,9034,8984.5
27,25,51,49,51,100,"alexandraS","1EUR",91,9035,9134,9084.5
23,23,46,54,54,100,"alexandraS","1EUR",92,9135,9234,9184.5
