"heads_heads","tails_heads","N_start_heads_up","N_start_tails_up","person","coin"
187,159,349,351,"XiaoyiLin","0.20EUR"
278,247,522,478,"frantisekB","0.20GEL"
221,223,442,458,"henrikG","1CAD"
262,254,519,481,"henrikG","0.50EUR"
255,245,497,503,"JasonNak","0.20EUR"
272,246,517,483,"JasonNak","0.10EUR"
261,251,513,487,"JasonNak","1CAD"
239,258,497,503,"JasonNak","2EUR"
230,271,499,501,"JasonNak","0.50EUR"
261,235,495,505,"JasonNak","10CZK"
174,170,346,354,"JasonNak","50CZK"
278,248,525,475,"jonasP","0.50EUR"
257,249,506,494,"jonasP","1CAD"
248,250,495,505,"jonasP","10CZK"
246,245,490,510,"jonasP","2EUR"
253,247,501,499,"KarolineH","1EUR"
225,246,472,528,"KarolineH","50CZK"
511,498,1008,992,"KarolineH","2EUR"
243,256,502,498,"KarolineH","10CZK"
138,122,257,243,"KarolineH","0.25USD"
260,259,517,483,"KatharinaKarnbach","1CHF"
269,249,520,480,"KatharinaKarnbach","1GBP"
266,244,512,488,"KatharinaKarnbach","0.50EUR"
254,235,491,509,"KatharinaKarnbach","1EUR"
87,101,188,212,"KatharinaKarnbach","2EUR"
267,237,505,495,"KoenDerks","0.50EUR"
252,246,496,504,"KoenDerks","0.20EUR"
250,248,496,504,"KoenDerks","2EUR"
221,252,472,528,"KoenDerks","1EUR"
266,228,491,509,"KoenDerks","1CAD"
273,241,511,489,"KoenDerks","0.10EUR"
93,98,192,208,"KoenDerks","0.20GEL"
253,246,501,499,"MichelleDonzallaz","2EUR"
263,234,497,503,"MichelleDonzallaz","50CZK"
262,241,506,494,"MichelleDonzallaz","0.50EUR"
262,236,496,504,"MichelleDonzallaz","1EUR"
78,80,157,143,"MichelleDonzallaz","0.05EUR"
269,240,511,489,"RietvanBork","0.05EUR"
238,248,485,515,"RietvanBork","1CHF"
248,255,503,497,"RietvanBork","0.20GEL"
121,156,277,323,"RietvanBork","0.50EUR"
237,241,476,524,"ThomasBastelica","0.10EUR"
230,253,482,518,"ThomasBastelica","2EUR"
251,252,501,499,"ThomasBastelica","50CZK"
224,249,472,528,"ThomasBastelica","1CHF"
279,238,517,483,"ThomasBastelica","1CAD"
1269,1205,2481,2522,"AntonZoubek","0.50EUR"
1318,1258,2578,2423,"AntonZoubek","5SEK"
510,516,1021,979,"ChrisGabrielIslam","5JPY"
523,491,1012,991,"ChrisGabrielIslam","2BDT"
506,494,1003,998,"ChrisGabrielIslam","0.10RON"
525,507,1030,970,"ChrisGabrielIslam","1EUR"
482,511,995,1006,"ChrisGabrielIslam","5SEK"
500,480,982,1018,"MalteZoubek","1EUR"
540,484,1024,976,"MalteZoubek","2BDT"
251,258,510,490,"MalteZoubek","0.50EUR"
260,258,523,477,"MalteZoubek","0.20CHF"
758,743,1507,1493,"MalteZoubek","5SEK"
262,244,504,496,"MalteZoubek","2ILS"
260,248,507,493,"MalteZoubek","0.25BRL"
1073,1018,2086,1914,"SaraShabani","1EUR"
802,718,1526,1474,"SaraShabani","5SEK"
740,750,1495,1505,"SaraShabani","0.25BRL"
637,706,1336,1367,"FelipeFontanaVieira","0.50EUR"
276,314,590,611,"FelipeFontanaVieira","1EUR"
1589,1511,3103,3008,"FelipeFontanaVieira","2EUR"
2095,2161,4220,4386,"FranziskaNippold","0.50EUR"
256,288,539,566,"FranziskaNippold","0.20EUR"
283,269,546,500,"FranziskaNippold","2INR"
517,561,1084,1116,"FrederikAust","0.50EUR"
782,844,1626,1674,"FrederikAust","2EUR"
233,249,478,522,"FrederikAust","1EUR"
775,746,1523,1477,"FrederikAust","0.20EUR"
257,238,496,504,"FrederikAust","0.10EUR"
